item_id,item_name,label,credit,rate_lower,rate_upper,term,tag,interestb4pr,flexible_return,age_lower,age_upper,holder_identity,establish_yr,tax_rating,fapiao,fapiao_income
024f655f486c416aa189b62a44b63fd0,平安税金贷,0,1,0.07,0.12,36,等额本息 等额本金,否,是,25,65,0,2,缺失,0,0
0ecbd81b65974328845f2687fa41e908,网乐贷,0,0.5,0.09,0.12,12,等额本息,否,是,25,60,12,2,A B,0,0
56ebc23fbfac40deae22d7fe315bf247,微业贷小微贷,0,3,0.04,0.16,36,等额本金,否,是,0,0,0,2,A B C,0,0
53611dbb2d0b420482fa04e17261789a,富税贷,0,0.5,0.12,0.15,24,等额本息,否,是,25,60,12,2,A B C,0,0
f38894673cca46768b43891d5015b937,华兴税E贷,0,2,0.12,0.16,12,等额本金,否,是,25,60,12,2,A B M,0,0
abea3f47b6d147f9b0c622dea0425c95,新网好企贷,0,5,0.11,0.11,12,等额本息,否,否,22,60,6,2,A B C,0,0
3befd497604a4313a33b8c97743f3246,广发税银通,0,3,0.06,0.1,12,缺失,是,是,18,65,0,2,A B M,0,0
ddaf966ddaed42f4a7a5ca9c01b51aa0,振兴银行税e贷,0,0.5,0.09,0.18,12,等额本息,是,是,20,60,0,2,A B C,0,0
9d8276255db143f9bc3de84a4fae386a,裕民银行税裕贷,0,0.5,0.09,0.09,36,等额本金,否,是,22,60,6,2,A B C M,0,0
129166c4546f42048922d8e9da1321b3,微众供货贷,0,3,0.04,0.18,0,缺失,是,是,18,73,0,2,A B C M 无评级,12,0
3c6eb5839ef1472d99660766ca609b77,江苏银行随e贷,0,2,0.06,0.08,0,缺失,是,是,18,64,0,2,缺失,0,0
33a9bc0a35234b9d96206aca5ed78fdd,大数渤税贷,0,0.5,0.07,0.07,36,等额本息,是,是,20,65,1,1,A B C M 无评级,0,0
c789941d88c84c6193be364ce18995f5,苏宁微商贷,0,2,0.09,0.18,18,等额本金,否,是,18,65,3,2,A B C M,0,0
ca4c782857b847a4939e258c74051888,瀚华金税贷,0,1,0.18,0.18,12,等额本息,否,否,18,55,0,2,缺失,0,0
d79d6a24b3a64226a495b1fe585deccf,平安速票贷发票贷,1,0.5,0.12,0.12,36,缺失,否,是,25,65,18,2,无,18,4
13374180138745b6bc253bcdfa327de7,360发票贷,1,0.5,0.11,0.11,24,缺失,否,否,20,54,6,1,无,12,0.5
d6901406bb6c4c52980648e15c475439,浦望贷,1,1,0.07,0.07,12,等额本息,否,否,20,65,0,1,无,0,1
2f47c73271d6469f9b6ded2a1eb3e5e2,华夏应收账款,1,2,0.1,0.1,12,缺失,是,是,25,55,6,2,无,12,2
7d1ed5dda9fc4865b97d004cf8f6dd93,平顶山发票贷,1,0.5,0.1,0.12,12,等额本息,是,是,23,60,0,2,无,12,0.3
a51718e9ecac453b879c44a7be9e23ef,浦发浦税贷,1,1,0.08,0.09,12,等额本息,否,无,20,65,0,1,无,12,5
9ba8cf46be224d4b8213cef9b95ce1b4,新网好事贷,1,0.5,0.18,0.18,12,等额本息,否,无,25,60,3,1,无,0,0.2
ebdb6737a4044ad5a28ebcde15b6233d,华夏龙惠贷,1,0.5,0.14,0.14,12,等额本息,否,无,25,60,12,2,无,18,0.5
d464a474eaba468f9f53839284702d74,大数金盈贷,1,1,0.24,0.24,12,等额本息,否,否,25,55,0,2,无,0,0.1
f678b1014ecb40a18b1bf83b5823116c,拉卡拉小贷,1,0.3,0.15,0.15,12,等额本息,否,无,25,55,0,2,无,0,0.8
3f52b69cf5034925894bea00ced62a74,顺新贷,1,0.5,0.1,0.15,12,等额本息,否,是,25,55,12,1.25,A B C,15,0.96
619e031d56564cc88aeedecb99f63f4c,大数老板贷,1,1,0.11,0.13,36,等额本息,否,否,25,55,0,2,无,9,0.1
438bfe809209487b819915e819df040b,普洛斯普数贷,1,0.5,0.18,0.18,12,缺失,否,无,22,60,0,2,无,24,2
b828e2fd804446b8bc4380c11bb66a6d,新大陆金新贷,1,0.5,0.14,0.14,12,等额本金,否,无,25,55,12,2,无,12,0.1
5184022793974b169ea282c2d3546b62,宜信商通贷发票贷,1,1,0.11,0.13,12,等额本息,是,无,22,55,12,1,无,12,0.3
81dd32ea7d7944729088ae1245ea9772,海尔云数贷,1,0.5,0.1,0.1,12,等额本息,否,否,22,60,6,2,无,12,0.5
e5f1e06e56bd4245bd0fbf27e7373658,苏宁好融易,1,2,0.14,0.14,12,等额本息,否,无,20,65,0,2,无,0,1
10fea68f90e24aa8ba03241f1b0c2cd6,瀚华幸福贷,1,1,0.08,0.13,12,等额本息,否,无,22,60,6,1,无,12,0.5
9d2e06387cbf499a87ac1867e635126f,极数贷,1,1,0.1,0.13,36,等额本息,否,无,22,50,6,2,无,9,0.1
c82d878e889e44079f94a69a9b7d75a8,极沃贷,1,0.5,0.07,0.13,12,等额本息,否,是,25,60,12,2,无,12,0.2
db1b6a3ad90e4604ac7d731392dbf505,旺新贷,1,1,0.12,0.15,12,等额本息,否,无,28,55,0,0,A B C,24,1
408e7697ff724a79b1196aca81f1fa00,大数易企贷,1,1,0.1,0.13,36,缺失,否,无,25,55,12,2,无,0,0
d7954a71c7dc4e6c974ad0e83b31246b,优盈贷,1,0.5,0.18,0.18,12,等额本息,否,无,25,55,6,2,无,0,1
9e49cf89e28042628579f7cc3e206a2f,厚沃贷外贸贷,,1,0.18,0.18,12,等额本息,否,是,20,60,6,1,无,0,0
32a1ca06a24b4c83974701e5de782ffc,亚联财富金贷,,0.2,0.13,0.2,12,等额本息,否,无,28,55,0,2,无,0,0.1
ef05ad6ea2494c8f98103524460ee1b3,好运贷,,3,0.16,0.2,6,等额本息,是,是,25,55,6,1,无,0,0
1cb48bf7673040d292ffa55cc1931fd9,小微快贷,0,1,0.1,0.13,24,等额本息,否,无,25,55,1,2,A B C M,0,0
a898f6f804954eceb2bea3ceb709732c,企速贷,0,1,0.1,0.13,36,等额本息,否,无,25,55,0,2,A B C M,0,0
8bf2a87b85324911bf34a1056fe1499e,客金贷,0,1,0.15,0.15,24,等额本息,否,无,25,55,1,2,A B C M,0,0
f8a458a3a4314b8284bf91c191610de8,民生云快贷,,15,0.04,0.05,60,缺失,是,是,18,60,0,1,无,0,0
9e19d63ebf4a4aab8347a1426abdbb34,微众房抵贷乐业贷,,20,0.06,0.06,60,缺失,是,是,18,60,0,0,无,0,0
